CustomerID,BranchID,LastPurchaseDate,TotalTransactions,TotalSpent,Currency,PaymentType
10101,BR-007,02-10-2024,3,1139.520646,EUR,Credit
10103,BR-001,10-09-2024,2,1047.562892,USDT,Instant
10104,BR-004,09-10-2024,2,1332.327171,USD,Credit
10105,BR-004,04-10-2024,5,1392.766062,GBP,Instant
10107,BR-001,01-06-2023,5,1475.002698,EUR,Instant
10109,BR-007,03-01-2024,2,1146.529623,EUR,Credit
10110,BR-002,14-07-2023,1,1448.315192,USDT,Instant
10111,BR-003,24-08-2024,1,758.4386606,USD,Credit
10112,BR-007,12-12-2024,0,715.0858258,USD,Instant
10113,BR-001,14-12-2023,5,1383.648419,EUR,Instant
10115,BR-001,20-11-2023,3,821.6274871,USD,Instant
10116,BR-004,07-03-2023,3,1278.060899,USD,Instant
10118,BR-006,13-08-2024,3,32.71490225,USD,Instant
10119,BR-006,25-06-2023,3,1682.216724,USD,Instant
10120,BR-004,30-08-2023,3,1586.014452,GBP,Instant
10121,BR-005,08-02-2024,3,1086.590463,USD,Instant
10122,BR-002,10-03-2024,8,1192.65869,USD,Instant
10123,BR-004,14-05-2024,1,980.181929,GBP,Credit
10124,BR-006,30-12-2023,1,732.6686291,USD,Instant
10126,BR-005,19-06-2024,4,1093.227157,USDT,Credit
10127,BR-007,22-12-2024,0,163345.5575,EUR,Instant
10128,BR-001,05-03-2024,2,646.1652672,USD,Instant
10129,BR-002,30-09-2023,1,1581.581876,GBP,Instant
10130,BR-001,15-01-2024,5,1005.116531,GBP,Instant
10133,BR-006,25-12-2024,1,1652.739404,USD,Credit
10134,BR-004,31-12-2023,3,1010.501921,USD,Instant
10136,BR-004,03-07-2024,1,1885.215758,GBP,Instant
10137,BR-003,17-06-2024,2,640.7778894,USD,Instant
10138,BR-003,16-08-2024,4,893.2764241,USDT,Instant
10140,BR-007,12-03-2024,3,948.0794413,EUR,Instant
10142,BR-005,01-08-2024,0,1075.196893,GBP,Instant
10143,BR-007,12-02-2025,3,143.4327355,USD,Instant
10144,BR-007,11-04-2023,3,1676.936187,GBP,Instant
10145,BR-001,23-12-2024,3,999.1820167,GBP,Instant
10147,BR-001,10-12-2024,2,1484.314242,USD,Instant
10148,BR-006,21-12-2023,3,1322.866394,USD,Instant
10149,BR-004,17-10-2024,1,317.1676068,USD,Instant
10150,BR-006,21-07-2023,1,1252.05343,USDT,Instant
10151,BR-006,07-02-2024,4,1089.064213,USDT,Instant
10152,BR-003,06-09-2023,2,101781.773,USDT,Instant
10153,BR-007,11-04-2024,4,219.7470428,USD,Credit
10154,BR-001,26-11-2023,3,1103.344732,USD,Instant
10156,BR-004,11-04-2023,4,584.5249418,GBP,Credit
10157,BR-003,09-06-2023,1,1319.296229,USDT,Instant
10158,BR-002,24-07-2023,5,169.2399689,USD,Instant
10160,BR-006,22-12-2024,4,922.1613823,GBP,Credit
10161,BR-007,24-01-2025,3,1446.20541,USD,Instant
10162,BR-007,22-10-2024,2,1047.810223,GBP,Instant
10163,BR-006,16-07-2024,5,865.0625324,EUR,Instant
10164,BR-003,13-03-2024,3,510.6181421,USD,Instant
10165,BR-001,08-11-2024,6,1240.504616,USDT,Instant
10166,BR-006,29-01-2024,2,1111.942012,USDT,Credit
10167,BR-004,21-04-2024,2,885.0602143,EUR,Instant
10168,BR-003,03-07-2024,1,1314.070007,USDT,Instant
10169,BR-005,26-05-2024,2,2286.679902,USD,Instant
10170,BR-005,04-01-2025,4,1029.609217,EUR,Instant
10171,BR-001,10-08-2023,2,44471.20773,USD,Credit
10172,BR-007,30-10-2023,7,1876.135222,EUR,Credit
10173,BR-007,17-04-2024,3,1683.685127,GBP,Credit
10174,BR-005,23-10-2023,3,1479.126913,USD,Instant
10176,BR-003,21-12-2023,2,790.928483,GBP,Instant
10177,BR-005,13-05-2024,2,498.1210542,USDT,Credit
10178,BR-003,19-02-2025,4,1255.148195,USDT,Credit
10179,BR-005,19-05-2023,2,997.3317646,USD,Credit
10180,BR-001,29-12-2024,3,670.6155871,EUR,Instant
10181,BR-003,29-03-2023,4,1532.284339,GBP,Instant
10182,BR-007,12-01-2024,2,1059.802834,EUR,Credit
10183,BR-001,28-09-2023,0,1014.159188,USDT,Credit
10184,BR-003,10-02-2025,3,1014.87807,USD,Instant
10185,BR-002,27-04-2023,5,1041.141995,USD,Instant
10186,BR-004,16-05-2024,5,1532.740188,GBP,Instant
10187,BR-005,23-12-2023,4,1281.539437,GBP,Instant
10188,BR-004,24-02-2024,3,233.736329,GBP,Credit
10189,BR-001,26-10-2024,2,1397.953252,USD,Instant
10190,BR-001,23-01-2024,5,1524.265469,GBP,Instant
10191,BR-004,25-06-2023,5,1453.747384,USD,Credit
10192,BR-001,04-05-2024,2,1017.947275,USD,Credit
10193,BR-002,19-01-2024,5,101437.2411,GBP,Credit
10194,BR-006,11-08-2023,3,1639.225931,USDT,Credit
10197,BR-007,24-10-2024,4,359.8478007,GBP,Credit
10198,BR-003,12-02-2024,4,143622.8664,USD,Instant
10199,BR-001,11-02-2025,3,52781.56112,USDT,Credit
10200,BR-004,21-03-2023,3,1161.622881,USDT,Instant
10201,BR-002,11-12-2024,2,1392.900079,EUR,Instant
10202,BR-001,31-01-2024,2,1212.728781,USD,Credit
10203,BR-001,28-12-2024,2,1494.441369,GBP,Instant
10204,BR-006,29-11-2024,3,1311.654903,USD,Instant
10205,BR-004,14-09-2024,4,889.0437736,USD,Instant
10206,BR-005,10-02-2025,3,39274.05222,USDT,Instant
