EventType,TrafficMultiplier,ABTestGroup,SaleAmountEUR,BranchID
Normal,1,Variation1,1633.197922,BR-001
Normal,1,Variation1,935.2294889,BR-001
Christmas,3.8,Control,204.1931289,BR-001
Valentine,4,Control,1806.100146,BR-001
Normal,1,Control,1178.502244,BR-001
Christmas,4.4,Variation1,1530.279431,BR-001
Christmas,4.6,Control,791.0119524,BR-001
Christmas,1.8,Variation1,331.5910687,BR-001
Valentine,1.5,Control,2200.819319,BR-001
Valentine,1.7,Variation2,145.9202011,BR-001
Normal,1,Control,825.7568321,BR-001
BlackFriday,3.4,Variation1,1310.004869,BR-001
Valentine,4.8,Variation1,1614.788666,BR-001
Normal,1,Control,1643.333557,BR-001
BlackFriday,4.7,Control,652.8099651,BR-001
Normal,1,Variation2,1073.40254,BR-001
Valentine,1.6,Control,164.2170473,BR-001
Normal,1,Control,655.0685203,BR-001
Christmas,4.6,Control,1553.171408,BR-001
Normal,1,Variation2,1421.154683,BR-001
Christmas,3.4,Variation1,804.6681746,BR-001
Normal,1,Variation2,1196.021978,BR-001
BlackFriday,4.7,Variation2,1604.180769,BR-001
Christmas,4.2,Control,1257.111627,BR-001
Normal,1,Control,2051.979315,BR-001
Valentine,2,Variation2,814.1002134,BR-001
Christmas,4.3,Variation2,975.3821086,BR-001
Normal,1,Control,1801.139893,BR-001
BlackFriday,3.3,Control,1581.399917,BR-001
BlackFriday,2.5,Variation2,1197.452214,BR-001
BlackFriday,4,Control,1434.393149,BR-001
Christmas,4.8,Variation2,2711.796192,BR-001
BlackFriday,1.6,Control,2397.409483,BR-001
BlackFriday,1.4,Control,1604.911465,BR-001
Valentine,1.3,Variation2,1035.274097,BR-001
Normal,1,Control,1234.130513,BR-001
Christmas,4.5,Variation1,1544.678175,BR-001
Normal,1,Control,2181.078643,BR-001
Christmas,1.3,Control,447.7705019,BR-001
Valentine,3.4,Variation1,2175.974299,BR-001
Christmas,3.2,Variation1,1394.902863,BR-001
Normal,1,Variation2,1000.300591,BR-001
Valentine,2.9,Control,613.8804859,BR-001
Valentine,4.8,Control,1832.87951,BR-001
Valentine,2,Control,591.6450479,BR-001
Valentine,2.5,Control,1354.378381,BR-001
BlackFriday,3.8,Variation1,-2176.727023,BR-001
Valentine,4.9,Variation2,2323.777037,BR-001
Christmas,2.8,Control,1307.718881,BR-001
Normal,1,Variation2,774.1468254,BR-001
BlackFriday,2.3,Variation1,938.5399627,BR-001
Valentine,2.8,Variation1,1429.592053,BR-001
Christmas,1.7,Control,1248.19338,BR-001
BlackFriday,4.3,Variation2,1616.904941,BR-001
Christmas,4.2,Control,2279.392187,BR-001
Christmas,4.5,Control,2634.041943,BR-001
Normal,1,Control,486.3927814,BR-001
BlackFriday,2.8,Control,301.122013,BR-001
Valentine,2.6,Variation1,1784.843668,BR-001
Valentine,2.1,Control,443.5737824,BR-001
Christmas,2.9,Variation2,1973.324537,BR-001
Christmas,2.1,Control,-549.9708081,BR-001
BlackFriday,3,Variation1,1211.319749,BR-001
BlackFriday,4.1,Control,1915.27335,BR-001
Valentine,3.7,Variation2,1260.846268,BR-001
BlackFriday,1.6,Control,1577.853621,BR-001
BlackFriday,4.7,Control,1815.698166,BR-001
Valentine,3.7,Variation1,1004.059158,BR-001
BlackFriday,2.5,Control,757.3897705,BR-001
