CustomerID,BranchID,LastPurchaseDate,TotalTransactions,TotalSpent,Currency,PaymentType
884814508,BR-007,02-10-2024,3,1139.520646,EUR,Credit
8682766939,BR-004,29-03-2023,3,1505.257642,EUR,Credit
5566395633,BR-001,10-09-2024,2,1047.562892,USDT,Instant
7357367884,BR-004,09-10-2024,2,1332.327171,USD,Credit
3645110122,BR-004,04-10-2024,5,1392.766062,GBP,Instant
8952227123,BR-005,08-02-2025,5,2328.005046,GBP,Credit
290288533,BR-001,01-06-2023,5,1475.002698,EUR,Instant
410956561,BR-003,01-02-2024,3,1863.258234,USD,Instant
1779486315,BR-007,03-01-2024,2,1146.529623,EUR,Credit
7760091537,BR-002,14-07-2023,1,1448.315192,USDT,Instant
9604009374,BR-003,24-08-2024,1,758.4386606,USD,Credit
2837708938,BR-007,12-12-2024,0,715.0858258,USD,Instant
8670675689,BR-001,14-12-2023,5,1383.648419,EUR,Instant
5486270040,BR-001,27-06-2024,3,425.1037113,USDT,Instant
9000227733,BR-001,20-11-2023,3,821.6274871,USD,Instant
706021409,BR-004,07-03-2023,3,1278.060899,USD,Instant
7644485704,BR-004,02-09-2023,1,928.5045326,GBP,Instant
3365804287,BR-006,13-08-2024,3,32.71490225,USD,Instant
9406899123,BR-006,25-06-2023,3,1682.216724,USD,Instant
5440175723,BR-004,30-08-2023,3,1586.014452,GBP,Instant
9506332367,BR-005,08-02-2024,3,1086.590463,USD,Instant
6426878419,BR-002,10-03-2024,8,1192.65869,USD,Instant
693146699,BR-004,14-05-2024,1,980.181929,GBP,Credit
113534114,BR-006,30-12-2023,1,732.6686291,USD,Instant
5181897614,BR-004,31-12-2024,1,-12.57129333,USD,Instant
6883696524,BR-005,19-06-2024,4,1093.227157,USDT,Credit
741822175,BR-007,22-12-2024,0,163345.5575,EUR,Instant
5334962920,BR-001,05-03-2024,2,646.1652672,USD,Instant
6219635829,BR-002,30-09-2023,1,1581.581876,GBP,Instant
6741263905,BR-001,15-01-2024,5,1005.116531,GBP,Instant
2176604147,BR-005,06-09-2024,2,895.9388748,USDT,Instant
6728676070,BR-005,23-06-2023,6,753.4995327,USD,Instant
7773374691,BR-006,25-12-2024,1,1652.739404,USD,Credit
8679747471,BR-004,31-12-2023,3,1010.501921,USD,Instant
9328422847,BR-007,31-12-2023,1,-45.00887432,EUR,Credit
3133001708,BR-004,03-07-2024,1,1885.215758,GBP,Instant
7570119133,BR-003,17-06-2024,2,640.7778894,USD,Instant
1686639814,BR-003,16-08-2024,4,893.2764241,USDT,Instant
8204608443,BR-001,02-12-2023,2,866.2996811,USDT,Instant
8814107969,BR-007,12-03-2024,3,948.0794413,EUR,Instant
8640906320,BR-004,23-08-2023,5,620.4336692,USD,Credit
4712253681,BR-005,01-08-2024,0,1075.196893,GBP,Instant
538066234,BR-007,12-02-2025,3,143.4327355,USD,Instant
7412282577,BR-007,11-04-2023,3,1676.936187,GBP,Instant
2965739266,BR-001,23-12-2024,3,999.1820167,GBP,Instant
7966280286,BR-003,24-01-2025,6,786.9838307,USD,Credit
8982782048,BR-001,10-12-2024,2,1484.314242,USD,Instant
9685598981,BR-006,21-12-2023,3,1322.866394,USD,Instant
822070249,BR-004,17-10-2024,1,317.1676068,USD,Instant
1936113642,BR-006,21-07-2023,1,1252.05343,USDT,Instant
645621127,BR-006,07-02-2024,4,1089.064213,USDT,Instant
1863725392,BR-003,06-09-2023,2,101781.773,USDT,Instant
9209071579,BR-007,11-04-2024,4,219.7470428,USD,Credit
1632029061,BR-001,26-11-2023,3,1103.344732,USD,Instant
9517796668,BR-006,27-12-2023,1,1024.260814,USD,Instant
1480134466,BR-004,11-04-2023,4,584.5249418,GBP,Credit
9672771796,BR-003,09-06-2023,1,1319.296229,USDT,Instant
1890920876,BR-002,24-07-2023,5,169.2399689,USD,Instant
111090701,BR-001,25-08-2023,2,1043.294894,GBP,Instant
9414387078,BR-006,22-12-2024,4,922.1613823,GBP,Credit
2786246882,BR-007,24-01-2025,3,1446.20541,USD,Instant
6645341768,BR-007,22-10-2024,2,1047.810223,GBP,Instant
181472290,BR-006,16-07-2024,5,865.0625324,EUR,Instant
9145521833,BR-003,13-03-2024,3,510.6181421,USD,Instant
2719834603,BR-001,08-11-2024,6,1240.504616,USDT,Instant
103171754,BR-006,29-01-2024,2,1111.942012,USDT,Credit
5021066833,BR-004,21-04-2024,2,885.0602143,EUR,Instant
789840834,BR-003,03-07-2024,1,1314.070007,USDT,Instant
558605344,BR-005,26-05-2024,2,2286.679902,USD,Instant
1323845275,BR-005,04-01-2025,4,1029.609217,EUR,Instant
3714059026,BR-001,10-08-2023,2,44471.20773,USD,Credit
9324259051,BR-007,30-10-2023,7,1876.135222,EUR,Credit
1573307078,BR-007,17-04-2024,3,1683.685127,GBP,Credit
945002514,BR-005,23-10-2023,3,1479.126913,USD,Instant
2816969920,BR-001,07-11-2024,2,688.5727484,USD,Instant
7243732589,BR-003,21-12-2023,2,790.928483,GBP,Instant
7632602597,BR-005,13-05-2024,2,498.1210542,USDT,Credit
9539904977,BR-003,19-02-2025,4,1255.148195,USDT,Credit
3416731500,BR-005,19-05-2023,2,997.3317646,USD,Credit
3742316033,BR-001,29-12-2024,3,670.6155871,EUR,Instant
3217188908,BR-003,29-03-2023,4,1532.284339,GBP,Instant
1123715077,BR-007,12-01-2024,2,1059.802834,EUR,Credit
240402096,BR-001,28-09-2023,0,1014.159188,USDT,Credit
690019577,BR-003,10-02-2025,3,1014.87807,USD,Instant
3394159629,BR-002,27-04-2023,5,1041.141995,USD,Instant
9719694232,BR-004,16-05-2024,5,1532.740188,GBP,Instant
2408623423,BR-005,23-12-2023,4,1281.539437,GBP,Instant
2447059593,BR-004,24-02-2024,3,233.736329,GBP,Credit
2253563813,BR-001,26-10-2024,2,1397.953252,USD,Instant
9586128935,BR-001,23-01-2024,5,1524.265469,GBP,Instant
1463566903,BR-004,25-06-2023,5,1453.747384,USD,Credit
8090779787,BR-001,04-05-2024,2,1017.947275,USD,Credit
6623179582,BR-002,19-01-2024,5,101437.2411,GBP,Credit
9707989257,BR-006,11-08-2023,3,1639.225931,USDT,Credit
6745239178,BR-001,18-01-2024,0,720.5390764,EUR,Instant
7396844300,BR-006,01-09-2023,2,1188.605938,USD,Instant
2946501307,BR-007,24-10-2024,4,359.8478007,GBP,Credit
9661725527,BR-003,12-02-2024,4,143622.8664,USD,Instant
3534806331,BR-001,11-02-2025,3,52781.56112,USDT,Credit
4634278636,BR-004,21-03-2023,3,1161.622881,USDT,Instant
5074939249,BR-002,11-12-2024,2,1392.900079,EUR,Instant
472592081,BR-001,31-01-2024,2,1212.728781,USD,Credit
22602155,BR-001,28-12-2024,2,1494.441369,GBP,Instant
2614128227,BR-006,29-11-2024,3,1311.654903,USD,Instant
1419044098,BR-004,14-09-2024,4,889.0437736,USD,Instant
4225695650,BR-005,10-02-2025,3,39274.05222,USDT,Instant
1660483702,BR-003,03-04-2024,5,1565.626395,EUR,Credit
2263177482,BR-004,06-12-2023,3,862.6262524,GBP,Instant
9770240310,BR-002,19-05-2023,1,-304.9208965,EUR,Instant
7794079582,BR-006,31-10-2023,1,1189.284434,USD,Instant
9887219989,BR-001,08-07-2023,2,924.7900728,EUR,Credit
6885794474,BR-004,08-05-2023,6,1497.774293,EUR,Credit
303314938,BR-001,09-11-2024,2,1095.468875,USD,Instant
3505925881,BR-001,13-05-2024,1,552.7183838,EUR,Instant
5082654810,BR-004,03-01-2025,4,639.6047905,EUR,Credit
3139532950,BR-002,09-06-2023,5,1241.946159,GBP,Instant
9220342350,BR-006,14-10-2023,5,1806.855635,USD,Instant
5485459214,BR-003,20-02-2024,3,1226.767151,USD,Credit
9458690930,BR-004,03-08-2023,1,-124.547864,USDT,Instant
3055560801,BR-002,05-03-2024,3,658.5038348,USDT,Credit
9901459155,BR-007,06-05-2023,3,623.0177056,GBP,Credit
2077833717,BR-004,10-09-2023,3,859.6624616,EUR,Instant
6657539711,BR-002,07-04-2023,4,710.5183724,USDT,Instant
829600974,BR-002,07-04-2023,4,1031.844197,USDT,Instant
6521155029,BR-004,14-12-2024,3,822.9461793,USDT,Instant
8536554240,BR-006,08-10-2023,2,1226.768917,EUR,Credit
919215858,BR-006,26-10-2024,3,1404.769636,USDT,Instant
1240790243,BR-004,19-11-2023,2,345.0114209,USDT,Instant
1339346594,BR-002,13-07-2023,3,1434.221755,GBP,Instant
243544347,BR-006,17-04-2024,2,101.9855068,USD,Instant
